capture_id,sample_id,bmi323_x_G,bmi323_y_G,bmi323_z_G,adxl375_x_G,adxl375_y_G,adxl375_z_G
3,22,0.987179,0.118681,-0.003297,1.372000,0.441000,-0.343000
3,23,0.989988,0.121368,-0.005617,1.323000,0.441000,-0.441000
3,24,0.989255,0.117827,-0.005861,1.372000,0.490000,-0.294000
3,25,0.989621,0.117827,-0.005495,1.421000,0.539000,-0.343000
3,26,0.987668,0.119292,-0.004151,1.323000,0.441000,-0.343000
3,27,0.987057,0.118681,-0.002686,1.372000,0.441000,-0.343000
3,28,0.987057,0.119414,-0.003419,1.372000,0.490000,-0.392000
3,29,0.988278,0.118437,-0.003175,1.421000,0.392000,-0.294000
3,30,0.988767,0.117338,-0.004396,1.519000,0.392000,-0.294000
3,31,0.987668,0.118926,-0.003541,1.323000,0.490000,-0.392000
3,32,0.988278,0.117705,-0.005861,1.470000,0.392000,-0.294000
3,33,0.988156,0.119048,-0.005739,1.421000,0.490000,-0.245000
3,34,0.987790,0.118681,-0.005250,1.372000,0.343000,-0.245000
3,35,0.988523,0.118437,-0.005495,1.470000,0.392000,-0.294000
3,36,0.988034,0.118071,-0.003419,1.421000,0.441000,-0.343000
3,37,0.986691,0.118437,-0.004640,1.323000,0.490000,-0.392000
3,38,0.988278,0.119048,-0.005006,1.470000,0.392000,-0.343000
3,39,0.987424,0.119292,-0.004396,1.421000,0.441000,-0.392000
3,40,0.986569,0.117216,-0.004884,1.421000,0.490000,-0.294000
3,41,0.988034,0.118681,-0.004884,1.421000,0.441000,-0.343000
3,42,0.987790,0.117338,-0.005128,1.323000,0.392000,-0.441000
3,43,0.987790,0.118803,-0.005983,1.372000,0.441000,-0.392000
3,44,0.987790,0.117582,-0.007204,1.372000,0.490000,-0.294000
3,45,0.990110,0.119536,-0.004518,1.372000,0.490000,-0.294000
3,46,0.987057,0.116728,-0.004274,1.372000,0.490000,-0.343000
3,47,0.987057,0.116484,-0.004518,1.470000,0.441000,-0.294000
3,48,0.988034,0.118926,-0.005006,1.323000,0.441000,-0.343000
3,49,0.988156,0.117705,-0.004762,1.470000,0.392000,-0.294000
3,50,0.987790,0.118437,-0.004884,1.323000,0.441000,-0.294000
3,51,0.989377,0.118071,0.000000,1.421000,0.490000,-0.392000
3,52,0.986081,0.119536,-0.005250,1.421000,0.441000,-0.343000
3,53,0.988156,0.116606,-0.004518,1.421000,0.441000,-0.343000
3,54,0.987546,0.116728,-0.005006,1.470000,0.490000,-0.245000
3,55,0.987790,0.119536,-0.004151,1.372000,0.392000,-0.343000
3,56,0.988889,0.116484,-0.007814,1.372000,0.441000,-0.294000
3,57,0.986081,0.117705,-0.004762,1.421000,0.441000,-0.392000
3,58,0.989499,0.117094,-0.005983,1.372000,0.343000,-0.392000
3,59,0.988523,0.117460,-0.005128,1.372000,0.392000,-0.343000
3,60,0.989011,0.117705,-0.005128,1.568000,0.490000,-0.294000
3,61,0.987912,0.118926,-0.005617,1.470000,0.392000,-0.294000
3,62,0.987668,0.118437,-0.006105,1.519000,0.343000,-0.196000
3,63,0.988400,0.117460,-0.004274,1.470000,0.441000,-0.196000
3,64,0.986691,0.117827,-0.002564,1.421000,0.441000,-0.441000
3,65,0.988645,0.117094,-0.003419,1.470000,0.392000,-0.245000
3,66,0.986813,0.117338,-0.004518,1.519000,0.490000,-0.294000
3,67,0.987668,0.115995,-0.005250,1.421000,0.441000,-0.294000
3,68,0.988889,0.117827,-0.005739,1.421000,0.441000,-0.245000
3,69,0.988034,0.119048,-0.005372,1.372000,0.490000,-0.343000
3,70,0.987912,0.117338,-0.003297,1.421000,0.490000,-0.392000
3,71,0.989255,0.118315,-0.004640,1.421000,0.441000,-0.343000
3,72,0.987424,0.118193,-0.005250,1.519000,0.588000,-0.343000
3,73,0.988889,0.117827,-0.003907,1.421000,0.441000,-0.196000
